Gene,Reference
anti-human vimentin,anti-human vimentin
drosophila s6 kinase,drosophila s6 kinase
anti-human hif-1α,anti-human hif-1α
anti-human pkm2,anti-human pkm2
ich-gcp,ich-gcp
rt,lgmd2k
bmi1,flvi-2/bmi-1
chemokine receptor cxcr4,chemokine receptor cxcr4
iap,ba217h1.1
pi-5 kinase,pi-5 kinase
u-pa,ews-atf1
mcl,dectin-3
interleukin-3,interleukin-3
anti-apoptotic mcl-1 protein,anti-apoptotic mcl-1 protein
anti-apoptotic bcl-2 proteins,anti-apoptotic bcl-2 proteins
annexin v-pe,annexin v-pe
fluorochrome inhibitor of caspases,fluorochrome inhibitor of caspases
ribosomal s6 kinase,ribosomal s6 kinase
cholera,cholera
hsp60,hsp65
xl,xl
bd,bd
granzyme b,granzyme b
bfl-1,bfl-1
grp78,hel-s-89n
p-mek,p-mek
infections,infections
bcl2 family,bcl2 family
anti-apoptotic bcl-2,anti-apoptotic bcl-2
mapk-elk-1,mapk-elk-1
erk2 sirna,erk2 sirna
epidermal growth factor erk,epidermal growth factor erk
rsk,hox2h
small-molecule bcl-2,small-molecule bcl-2
mcl-1 gene,mcl-1 gene
bcl-2 family protein,bcl-2 family protein
topoisomerase ii,topoisomerase ii
mmp-2,mmp2
pu.1 transcription factor,pu.1 transcription factor
glycogen synthase kinase-3β,glycogen synthase kinase-3β
pest,pest
map kinase,map kinase
bcl-2 proteins,bcl-2 proteins
cls,dj967n21.6
anti-apoptotic proteins mcl-1,anti-apoptotic proteins mcl-1
mcl-1 mrna,mcl-1 mrna
erk sirna,erk sirna
bcl-2 protein,bcl-2 protein
anti-apoptotic bcl-2 family proteins,anti-apoptotic bcl-2 family proteins
bik,nbk
bcl-xl,ppp1r52
bcl-2 protein family,bcl-2 protein family
osseous,osseous
iliac,iliac
right thigh,right thigh
osteoprotegerin,osteoprotegerin
g-csf,g-csf
rank,cd265
hindlimb,hindlimb
cardiac valve,cardiac valve
he,el1
parietal bone,parietal bone
facial bone,facial bone
vegf gene isoforms,vegf gene isoforms
osteoporosis,osteoporosis
p-akt,p-akt
kit containing protease inhibitor and phosphatase,kit containing protease inhibitor and phosphatase
receptor activator of nuclear factor kappab ligand,receptor activator of nuclear factor kappab ligand
sca,sca
granulocyte-macrophage colony-stimulating factor,granulocyte-macrophage colony-stimulating factor
nox2-based nadph oxidase,nox2-based nadph oxidase
rat femur,rat femur
oc,bgp
bones,bones
diabetic vascular disease,diabetic vascular disease
hmg-coa reductase,hmg-coa reductase
wing,wing
t-akt,t-akt
bone morphogenetic protein-2,bone morphogenetic protein-2
opg,pdb5
endothelial cell phenotype,endothelial cell phenotype
femur,femur
femurs,femurs
bone collagen,bone collagen
cxcr4 protein,cxcr4 protein
rankl,ct134
rankl and the receptor activator of,rankl and the receptor activator of
muscle fascia,muscle fascia
limb,limb
humeral head,humeral head
vegfr2,kdr
il-17-producing gamma delta t,il-17-producing gamma delta t
hh ligand,hh ligand
hedgehog,hedgehog
clinical smo inhibitor sonidegib,clinical smo inhibitor sonidegib
ptch1,hist1h4d
human papillomavirus e6 protein,human papillomavirus e6 protein
hedgehog pathway transcription factor gli3,hedgehog pathway transcription factor gli3
cervix,cervix
estrogen receptor,estrogen receptor
uterine cervix,uterine cervix
anti-shh monoclonal antibody 5e1,anti-shh monoclonal antibody 5e1
cd55(+),cd55(+)
