Gene,Reference
tgf-βsignaling,tgf-βsignaling
mst1/1,mst1/1
wnt-5a,wnt-5a
cd24+,cd24+
factor beta,factor beta
t-cell factor,t-cell factor
muc5ac,leb
bynf-κb,bynf-κb
japanesekras mutations,japanesekras mutations
axin,axin1
pe anti-human cd318,pe anti-human cd318
pdgf-bb ligand,pdgf-bb ligand
src family kinasesstructural,src family kinasesstructural
growth factor receptor,growth factor receptor
cub-domain-containing protein 1,cub-domain-containing protein 1
cdcp1 tyr734,cdcp1 tyr734
pdgf-bb,pdgf-bb
erk1/2the,erk1/2the
stromal platelet-derived growth factor beta-receptor,stromal platelet-derived growth factor beta-receptor
src kinasesadhesion,src kinasesadhesion
procancer cdcp1,procancer cdcp1
phosphotyrosine phosphatasespdgfrβ,phosphotyrosine phosphatasespdgfrβ
anti-pdgfrβ,anti-pdgfrβ
pdgfrbeta,pdgfrbeta
mouse monoclonal anti-phospho-pdgfrβ (tyr751),mouse monoclonal anti-phospho-pdgfrβ (tyr751)
ihc cdcp1,ihc cdcp1
progesterone receptors,progesterone receptors
cub domain containing protein,cub domain containing protein
estrogen receptors,estrogen receptors
cdcp1 protein,cdcp1 protein
cub domain-containing protein,cub domain-containing protein
erk1/2cell,erk1/2cell
pdgfr beta signallingcdcp1,pdgfr beta signallingcdcp1
c2,cfab
rabbit polyclonal anti-cdcp1,rabbit polyclonal anti-cdcp1
tncbs,tncbs
p80,bun62
pkcdelta,pkcdelta
containing protein-1extracellular signal-regulated kinases 1–2fluorescent,containing protein-1extracellular signal-regulated kinases 1–2fluorescent
streptavidin-biotin-peroxidase,streptavidin-biotin-peroxidase
cub domain containing protein 1,cub domain containing protein 1
whf,whf
mir-200,mir-200
cdcp1 gene,cdcp1 gene
cub-domain containing protein 1,cub-domain containing protein 1
src-associated protein,src-associated protein
growth factor receptors,growth factor receptors
p44/42 mapk,p44/42 mapk
cub,cub
cub domain-containing protein 1,cub domain-containing protein 1
rabbit anti-human pdgfrβ,rabbit anti-human pdgfrβ
src family kinases,src family kinases
bone morphogenetic protein 4,bone morphogenetic protein 4
sfks,sfks
dako,dako
prs,prs
anti-cdcp1,anti-cdcp1
pdgf receptor,pdgf receptor
pkc{delta},pkc{delta}
phospho-cdcp1 (tyr734),phospho-cdcp1 (tyr734)
pdgfrβ,pdgfrβ
mouse monoclonal anti-actin,mouse monoclonal anti-actin
alexa fluor® 64,alexa fluor® 64
platelet-derived growth factor beta receptor,platelet-derived growth factor beta receptor
cdcp1ihc,cdcp1ihc
mouse igg,mouse igg
inase tyrosine 861,inase tyrosine 861
gp140,gp140
ers,ers
-derived growth factor,-derived growth factor
tyrosine 734cub-domain-containing protein 1,tyrosine 734cub-domain-containing protein 1
anti-human cd318,anti-human cd318
platelet derived growth factor,platelet derived growth factor
cdcp1,trask
cep3,cdc42ep3
fshwe,fshwe
protein kinase a,protein kinase a
sash1,kiaa0790
gsk-3β,gsk-3β
anti-casp3,anti-casp3
creb,creb1
gsk,gsk
endothelial vcam-1,endothelial vcam-1
cytochrome p450 family 19 subfamily a member 1,cytochrome p450 family 19 subfamily a member 1
fatty acid amide hydrolase,fatty acid amide hydrolase
nuclear factor-κb,nuclear factor-κb
ccne1quercetin,ccne1quercetin
glycogen synthase kinase 3 beta,glycogen synthase kinase 3 beta
anti-pgsk-3β,anti-pgsk-3β
cyp19a1,aro1
gab2,gab2
a-kinase anchoring protein 95,a-kinase anchoring protein 95
fshrfsh,fshrfsh
follicle-stimulating hormone receptors,follicle-stimulating hormone receptors
aromatase,aro1
luteinizing hormone,luteinizing hormone
casp3,cpp32
tumor necrosis factor-α,tumor necrosis factor-α
-pnf-κb,-pnf-κb
p65,p65
pathwaynf-κb,pathwaynf-κb
pituitary glycoprotein hormone,pituitary glycoprotein hormone
caspase-3follicle-stimulating hormone,caspase-3follicle-stimulating hormone
glycogen synthase kinase,glycogen synthase kinase
follicle-stimulating hormone,follicle-stimulating hormone
fsh,rnf3a
nuclear factor-kappa b,nuclear factor-kappa b
cyclind1,cyclind1
factor kappab,factor kappab
tau,maptl
nuclear and cytoplasmic protein,nuclear and cytoplasmic protein
fshr,fshr1
nuclear factor kappab,nuclear factor kappab
-l1,-l1
si-nc,si-nc
nase-2,nase-2
interleukin 6,interleukin 6
"2,3-dioxygenase","2,3-dioxygenase"
emt-related genes,emt-related genes
"2,3-dioxygenase 1","2,3-dioxygenase 1"
ido1,ido
human ido1,human ido1
si-ido1 sequences,si-ido1 sequences
si-ido1,si-ido1
prostate cancerpd-l1,prostate cancerpd-l1
"eamine 2,3-dioxygenase","eamine 2,3-dioxygenase"
"indoleamine 2,3-dioxygenaseincreased","indoleamine 2,3-dioxygenaseincreased"
ido-1,ido
signal transducer and activator of transcription 3,signal transducer and activator of transcription 3
pd-1,rpl17
"indoleamine 2,3-dioxygenase 1","indoleamine 2,3-dioxygenase 1"
ggc-3,ggc-3
streptavidin–,streptavidin–
goat anti-rabbit antibody igg,goat anti-rabbit antibody igg
ido,ido
dioxygenase 1,dioxygenase 1
p-stat3,p-stat3
pd-l1,b7h1
"indoleamine 2,3 dioxygenaseido1","indoleamine 2,3 dioxygenaseido1"
"indoleamine 2,3-dioxygenase","indoleamine 2,3-dioxygenase"
-dioxygenase,-dioxygenase
il6,dcua
ctla-4,gse
cck8,cck8
programmed cell death ligand 1,programmed cell death ligand 1
jak2,jtk10
ido1 antibody,ido1 antibody
ido1 mrna,ido1 mrna
stim1 protein,stim1 protein
trpv4 serine 824,trpv4 serine 824
nox2,gp91phox
stim1,d11s4896e
he,el1
transcription factors nf-κb,transcription factors nf-κb
orai1 c-terminus,orai1 c-terminus
btp2a,btp2a
stim1trpv4,stim1trpv4
canonical (trpc) 1 and 4 channels,canonical (trpc) 1 and 4 channels
capkc,capkc
dicer enzyme,dicer enzyme
c-src tyrosine kinase,c-src tyrosine kinase
serine/threonine kinases,serine/threonine kinases
machineryorai1,machineryorai1
orai1,orat1
sphingosine kinase-1,sphingosine kinase-1
bronchoalveolar lavage fluid (balf),bronchoalveolar lavage fluid (balf)
phospholipase a,phospholipase a
pkcα isoform,pkcα isoform
eroxidase,eroxidase
p120-catenin,p120-catenin
orai,orai
sphingosine-1-phosphate receptor,sphingosine-1-phosphate receptor
stim proteinsconformational,stim proteinsconformational
stromal-interacting molecule 1,stromal-interacting molecule 1
tnf-alphaactivation,tnf-alphaactivation
c-fos,slc39a3
crac channelsbtp2,crac channelsbtp2
sensor stromal interaction molecule 1,sensor stromal interaction molecule 1
pkcα protein,pkcα protein
trp channels,trp channels
anti-stim1,anti-stim1
tim1,tim-1
c- and n-terminal stim1,c- and n-terminal stim1
pkcα,pkcα
ap1,slc39a3
nos isoforms,nos isoforms
nos1,ino1
nos,ino1
noss,noss
nos2,ino1
nos3,enos
p70 ribosomal s6 kinase 1,p70 ribosomal s6 kinase 1
zonula occludens-1,zonula occludens-1
anti-human e-cadherin,anti-human e-cadherin
pyruvate kinase isoenzyme type m2,pyruvate kinase isoenzyme type m2
pkm2,cdk11-p110
p-p70s6k,p-p70s6k
pyruvate kinase m2,pyruvate kinase m2
ex taq,ex taq
anti-human,anti-human
kfs wer,kfs wer
transforming growth factor,transforming growth factor
hif-1α,hif-1α
anti-human vimentin,anti-human vimentin
anti-human hif-1α,anti-human hif-1α
anti-human pkm2,anti-human pkm2
smad,smad
amp kinase,amp kinase
bmi1,flvi-2/bmi-1
pyruvate kinase,pyruvate kinase
-beta1,-beta1
cck,cardiak
hif,hif
bh3-only proteinsacquired,bh3-only proteinsacquired
bcl,bcl
iap,ba217h1.1
pi-5 kinase,pi-5 kinase
u-pa,ews-atf1
chemokine receptor cxcr4potential,chemokine receptor cxcr4potential
oug,oug
bcl-,bcl-
fbw7bcl-2 family proteins,fbw7bcl-2 family proteins
elk-1,elk-1
anti-apoptotic mcl-1 protein,anti-apoptotic mcl-1 protein
s in,s in
s as ,s as 
anti-apoptotic bcl-2 proteins,anti-apoptotic bcl-2 proteins
n of ,n of 
fluorochrome inhibitor of caspases,fluorochrome inhibitor of caspases
hsp60,hsp65
xl,xl
anti-apoptotic bcl-2 family,anti-apoptotic bcl-2 family
cellsmcl-1,cellsmcl-1
n of topoisom,n of topoisom
p-mek,p-mek
antitubulin,antitubulin
bcl2 family,bcl2 family
anti-apoptotic bcl-2,anti-apoptotic bcl-2
pro-apoptotic bcl-2 family proteins,pro-apoptotic bcl-2 family proteins
abt-73,abt-73
erk2 sirna,erk2 sirna
ough ,ough 
bcl-2/xl,bcl-2/xl
epidermal growth factor erk,epidermal growth factor erk
flica,flica
bfl-1bcl-2 family,bfl-1bcl-2 family
p-erk,p-erk
bcl-2discovery,bcl-2discovery
small-molecule bcl-2,small-molecule bcl-2
mtt,mtt
mcl-1 gene,mcl-1 gene
f a cas,f a cas
ap-,ap-
 fo, fo
chpl,chpl
 an, an
l; ,l; 
mmp-2,mmp2
the f,the f
pu.1 transcription factor,pu.1 transcription factor
glycogen synthase kinase-3β,glycogen synthase kinase-3β
bcl-2 family,bcl-2 family
 an annex, an annex
anti-apoptotic proteins mcl-1,anti-apoptotic proteins mcl-1
mcl-1 mrna,mcl-1 mrna
erk sirna,erk sirna
cholera toxin,cholera toxin
"k, ribosomal s6 kin","k, ribosomal s6 kin"
abt-737,abt-737
anti-apoptotic bcl-2 family proteins,anti-apoptotic bcl-2 family proteins
mcl1,thph12
bcl-xl,ppp1r52
bcl-2 protein family,bcl-2 protein family
osteoprotegerin,osteoprotegerin
gamma delta,gamma delta
g-csf,g-csf
rank,cd265
transforming growth factor beta1endothelial,transforming growth factor beta1endothelial
bmp-2,bmp-2
osteoclastogenesisosteoprotegerin,osteoclastogenesisosteoprotegerin
hematoxylin-eosin,hematoxylin-eosin
vegf gene isoforms,vegf gene isoforms
lin(−),lin(−)
goat anti-rabbit igg,goat anti-rabbit igg
p-akt,p-akt
receptor activator of nf-κb,receptor activator of nf-κb
c-kit,kit
granulocyte-macrophage colony-stimulating factor,granulocyte-macrophage colony-stimulating factor
nox2-based nadph oxidase,nox2-based nadph oxidase
bone morphogenetic protein,bone morphogenetic protein
t-akt,t-akt
opg,pdb5
vegfr2+,vegfr2+
cd133+,cd133+
epcs,epcs
bone collagen,bone collagen
cxcr4 protein,cxcr4 protein
rankl,ct134
epc,epc
mir-,mir-
sca-1+,sca-1+
vegfr2,kdr
hedgehog gene,hedgehog gene
migrationmir-506,migrationmir-506
hh ligand,hh ligand
ptch1,hist1h4d
hedgehog signaling molecules,hedgehog signaling molecules
hedgehog signaling,hedgehog signaling
gant61,gant61
truncated gli3,truncated gli3
human papillomavirus oncoproteins,human papillomavirus oncoproteins
estrogen receptor,estrogen receptor
anti-shh monoclonal antibody 5e1,anti-shh monoclonal antibody 5e1
cd55(+),cd55(+)
