Gene,Reference
transmembrane tyrosine kinase receptors,transmembrane tyrosine kinase receptors
her2,sial1
erbb receptor family,erbb receptor family
tyrosine kinase receptor,tyrosine kinase receptor
insulin-like growth factor ii precursor gene,insulin-like growth factor ii precursor gene
shc binding site tyrosine residue,shc binding site tyrosine residue
egfr kinase,egfr kinase
phosphatidylinositol 3′-kinase,phosphatidylinositol 3′-kinase
her receptor,her receptor
phosphoinositide 3-kinase,phosphoinositide 3-kinase
met,auts9
epidermal growth factor receptor-activating mutations,epidermal growth factor receptor-activating mutations
gastric,gastric
insulin-like growth factors i and ii,insulin-like growth factors i and ii
her2 kinase,her2 kinase
grb7,grb7
erbb3 protein,erbb3 protein
neu oncogene,neu oncogene
v-erb-b oncogene protein sequences,v-erb-b oncogene protein sequences
human epidermal growth factor receptor cdna sequence,human epidermal growth factor receptor cdna sequence
her3 protein,her3 protein
epidermal growth factor,epidermal growth factor
node,node
protein tyrosine kinase homology domain of the erbb3 (her3) receptor protein,protein tyrosine kinase homology domain of the erbb3 (her3) receptor protein
chimera,chimera
her3,ferlk
bladder,bladder
egfr tyrosine kinase,egfr tyrosine kinase
oncogenic receptor tyrosine kinase,oncogenic receptor tyrosine kinase
c-src,thc6
erbb-2,erbb-2
c-erbb3 protein,c-erbb3 protein
p85 regulatory subunit,p85 regulatory subunit
insulin gene family,insulin gene family
egf receptor,egf receptor
ca sz meh,ca sz meh
rac-gef,rac-gef
heterodimeric guanine nucleotide exchange factor ced-5/ced-12,heterodimeric guanine nucleotide exchange factor ced-5/ced-12
small gtpase ced-10 rac,small gtpase ced-10 rac
alpha and beta tubulin,alpha and beta tubulin
roundworm,roundworm
ced-7,ced-7
vav,vav
rho family,rho family
fed,fed
ubiquitin ligase,ubiquitin ligase
argbp2,sorbs2
v-abl,pik3r4
pharynx,pharynx
n-terminal tyrosine kinase binding domain,n-terminal tyrosine kinase binding domain
tyrosine kinase syk,tyrosine kinase syk
ca sz hrh meh,ca sz hrh meh
ced-10 rac,ced-10 rac
abl,hscp30
rhogap srgp-1,rhogap srgp-1
t cell receptor,t cell receptor
dynamin,dynamin
cbl n-terminus,cbl n-terminus
c-abl,pik3r4
gonads,gonads
tula,clip4
cytoskeletal regulator abl-1,cytoskeletal regulator abl-1
swan-1,an11
tif,rek
tyrosine kinase,tyrosine kinase
defect,defect
ced-6,gulp1
c-cbl,cbl
tkb domain,tkb domain
cbl,cbl
ca,ca
neurodegenerative disease,neurodegenerative disease
cytoskeletal regulatory protein abi-1,cytoskeletal regulatory protein abi-1
ubiquitin,ubiquitin
let-23 protein,let-23 protein
let-60 ras,let-60 ras
cbl phosphotyrosine recognition motif,cbl phosphotyrosine recognition motif
syk family kinase,syk family kinase
abl-1,abl-1
ca sz es meh,ca sz es meh
ced-2-related protein,ced-2-related protein
nck,nck1
wasp-family protein,wasp-family protein
sli-1 homolog cbl,sli-1 homolog cbl
ced-10 homolog rac,ced-10 homolog rac
slap,slap
dic,slc25a10
ced-1,ced-1
digital,digital
trio-mig-2,trio-mig-2
crkii,mapk14
wave1,aoa2
insulin,insulin
let-23 egfr/let-60 ras,let-23 egfr/let-60 ras
phosphoinositide phosphatase mtm-1,phosphoinositide phosphatase mtm-1
abi2,hp95
e3 ubiquitin ligase,e3 ubiquitin ligase
rho gtpases,rho gtpases
rhog,rhog
scar,psmc1
ca sz es hrh meh,ca sz es hrh meh
zap-70 kinase,zap-70 kinase
ced-2,ced-2
ced-10,ced-10
rac,cakb
rho,rhod
dock180–elmo complex,dock180–elmo complex
abl kinase,abl kinase
sli-1 cbl,sli-1 cbl
sli-1,sli-1
wave,aoa2
aps,klk3
helix,ospl
cbl family proteins,cbl family proteins
cerebral amyloid angiopathy,cerebral amyloid angiopathy
meningoencephalitis,meningoencephalitis
protein p-p65,protein p-p65
hiv-1 tat protein,hiv-1 tat protein
sp,sml1
synergistic upregulation of metalloproteinase-9,synergistic upregulation of metalloproteinase-9
p65,p65
rat lung,rat lung
blood-brain barrier,blood-brain barrier
occludin,occludin
mi,shep3
choroid plexus,choroid plexus
eosinophilic meningitis,eosinophilic meningitis
vein,vein
plasminogen activators,plasminogen activators
cerebral,cerebral
hiv,hiv
matrix metalloproteinase,matrix metalloproteinase
gp120,ihrp
matrix metalloproteinase-9,matrix metalloproteinase-9
tnf-alpha,dif
bbb,bbb
angiostrongyliasis,angiostrongyliasis
mouse anti-mouse β,mouse anti-mouse β
anti-mouse monoclonal antibodies iκb-α,anti-mouse monoclonal antibodies iκb-α
blood-csf,blood-csf
acute liver failure,acute liver failure
toxocariasis,toxocariasis
goat anti-mouse claudin-5 polyclonal antibody,goat anti-mouse claudin-5 polyclonal antibody
brains,brains
"claudin-1, -2","claudin-1, -2"
capillary,capillary
liver,liver
hrp-conjugated anti-mouse igg,hrp-conjugated anti-mouse igg
claudin-1 and -2,claudin-1 and -2
muscles,muscles
tight junction protein,tight junction protein
layers,layers
tail,tail
sds,bvvls2
infection,infection
matrix-metalloproteinase-9,matrix-metalloproteinase-9
hiv-1 envelope glycoprotein gp120,hiv-1 envelope glycoprotein gp120
claudin-5,claudin-5
mmp-9,gelb
protein kinase c,protein kinase c
claudin-5 protein,claudin-5 protein
matrix metalloproteinase-12,matrix metalloproteinase-12
ma,mgau
skin of neck,skin of neck
dura mater,dura mater
rat brain,rat brain
horseradish peroxidase,horseradish peroxidase
nk-1r,nk-1r
nm,clone-23970
hrp-conjugated anti-goat igg,hrp-conjugated anti-goat igg
eosinophilia,eosinophilia
rnase-deleted mutant of ire1α,rnase-deleted mutant of ire1α
branch of,branch of
thyroid peroxidase,thyroid peroxidase
uv light and ha-ras,uv light and ha-ras
perk–eif2α,perk–eif2α
renal cortex,renal cortex
renal,renal
xbp1,xbp1p1
kidney,kidney
eif4e-binding protein,eif4e-binding protein
mk,dsmax
xbp1(s),xbp1(s)
hand,hand
reticulum,reticulum
mrs,def1
ham,ham
c-jun,slc39a3
ire1α rnase,ire1α rnase
folliculin,folliculin
cd,gse
ire1,ire1a
ns,ki-ras
kidneys,kidneys
jnk-dn,jnk-dn
caspase-3,caspase-3
atherosclerosis,atherosclerosis
mlst8,lst8
ros,ros
xbp1-dn,xbp1-dn
mammalian target of rapamycin complex 1,mammalian target of rapamycin complex 1
perk,sqt2
proapoptotic bcl-2 family protein,proapoptotic bcl-2 family protein
tsc2,tsc4
bhd gene product,bhd gene product
er,estrr
regulatory associated protein of mtor,regulatory associated protein of mtor
md,md
rnase,rnase
raptor,kiaa1303
rnase domain,rnase domain
testes,testes
va,cpox
ire1–xbp1,ire1–xbp1
er chaperones,er chaperones
jnk1,mapk8
ire1α rnase domain,ire1α rnase domain
fbs,fbx8
map4k3,map4k3
atf6,atf6a
thyroid,thyroid
ask1,ask1
mtorc1–ire1,mtorc1–ire1
rnase and kinase,rnase and kinase
nuclear xbp1,nuclear xbp1
ribosomal p70s6 kinase,ribosomal p70s6 kinase
bad,bbc2
ire1–jnk,ire1–jnk
organs,organs
catalase,catalase
tor,rorc
bcl-2 family proteins,bcl-2 family proteins
ire1α kinase,ire1α kinase
gibco-brl,gibco-brl
dynein light chain 1,dynein light chain 1
bcl-2 family member,bcl-2 family member
piwi,ct80.1
green-fluorescent protein,green-fluorescent protein
p21-activated kinase 1,p21-activated kinase 1
iscript cdna synthesis kit,iscript cdna synthesis kit
caenorhabditis elegans p53,caenorhabditis elegans p53
8-kda dynein light chain 1,8-kda dynein light chain 1
cyclin-dependent kinase 2,cyclin-dependent kinase 2
lrp,lrp
p53-binding protein 1,p53-binding protein 1
full-length dlc-1,full-length dlc-1
eph receptor,eph receptor
dlc-1,dncl1
snx9-family members,snx9-family members
lc8/dynll hub protein,lc8/dynll hub protein
cytoplasmic dyneins,cytoplasmic dyneins
cytoplasmic dynein,cytoplasmic dynein
gonad,gonad
8-kda dynein light chain,8-kda dynein light chain
bio-rad,bio-rad
dynein light chain lc8,dynein light chain lc8
gulp,gulp1
human cyclophilin a,human cyclophilin a
hepatitis b virus subviral envelope particle morphogenesis,hepatitis b virus subviral envelope particle morphogenesis
ninaa gene,ninaa gene
extracellular cyclophilin a,extracellular cyclophilin a
alveolar,alveolar
platelet proteins,platelet proteins
nuclear ribonucleoprotein a2,nuclear ribonucleoprotein a2
peptidyl-prolyl cis-trans-isomerase,peptidyl-prolyl cis-trans-isomerase
erk1,hs44kdap
serum cyclophilin,serum cyclophilin
bone,bone
acute renal failure,acute renal failure
kruppel-like factor 2,kruppel-like factor 2
ccr5-binding cyclophilin,ccr5-binding cyclophilin
cardiac diseases,cardiac diseases
antioxidant enzyme gene,antioxidant enzyme gene
sepsis,sepsis
spinal cord,spinal cord
nuclear factor kappa b,nuclear factor kappa b
anti-cd147,anti-cd147
als,sod
influenza,influenza
peptidyl prolyl cis-trans isomerase,peptidyl prolyl cis-trans isomerase
cyclophilin a peptidyl-prolyl isomerase,cyclophilin a peptidyl-prolyl isomerase
prolyl isomerase,prolyl isomerase
rat liver,rat liver
bone destruction,bone destruction
sod1,sod
mutant superoxide dismutase-1linked,mutant superoxide dismutase-1linked
hepatitis c virus ns5a protein,hepatitis c virus ns5a protein
cyclophilin a gene,cyclophilin a gene
influenza a virus m1 protein,influenza a virus m1 protein
hbv surface antigen,hbv surface antigen
ra,ra
gag,gag
acute coronary syndromes,acute coronary syndromes
virus infection,virus infection
maleylacetoacetate isomerase,maleylacetoacetate isomerase
interleukin-8,interleukin-8
aids,aids
tumor necrosis factor alpha,tumor necrosis factor alpha
arterial wall,arterial wall
cypa receptors,cypa receptors
peptidyl prolyl isomerase a,peptidyl prolyl isomerase a
lung inflammation,lung inflammation
superoxide dismutase-1,superoxide dismutase-1
v3 loop of human immunodeficiency virus type-1 envelope protein,v3 loop of human immunodeficiency virus type-1 envelope protein
human monocyte thp-1,human monocyte thp-1
vesicular stomatitis,vesicular stomatitis
amyotrophic lateral sclerosis,amyotrophic lateral sclerosis
hepatitis c,hepatitis c
severe acute respiratory syndrome,severe acute respiratory syndrome
cardiac,cardiac
peg ifnalpha2a,peg ifnalpha2a
flt3 ligand,flt3 ligand
interferon-gamma,interferon-gamma
periodontitis,periodontitis
marrow,marrow
cyclooxygenase-2,cyclooxygenase-2
transferrin,transferrin
glutathione transferase zeta 1,glutathione transferase zeta 1
serum cypa,serum cypa
matrix protein 1,matrix protein 1
cyclophilin receptor cd147,cyclophilin receptor cd147
cypa knockdown,cypa knockdown
apolipoprotein e,apolipoprotein e
zpr1,znf259
myocardial ischemia,myocardial ischemia
cyclophilin a cotranslocate,cyclophilin a cotranslocate
coronary artery disease,coronary artery disease
aneurysm,aneurysm
angiotensin ii,angiotensin ii
interleukin,interleukin
cd147,emmprin
ifn-i,ifn-i
vaccinia,vaccinia
aortic aneurysms,aortic aneurysms
rheumatoid arthritis,rheumatoid arthritis
m-csf,csf-1
asialoglycoprotein receptor,asialoglycoprotein receptor
cardiovascular diseases,cardiovascular diseases
aneurysms,aneurysms
vcam-1,vcam-1
nef,s100
cu/zn superoxide dismutase,cu/zn superoxide dismutase
severe sepsis,severe sepsis
cytokine receptor gamma-chain,cytokine receptor gamma-chain
glutathione transferase zeta,glutathione transferase zeta
lrp1,lambr
erk1/2,erk1/2
e-selectin,e-selectin
neutrophil migration,neutrophil migration
sars,nedmas
malaria,malaria
abdominal aortic aneurysms,abdominal aortic aneurysms
aaa,cdn
vascular disease,vascular disease
chronic hepatitis b,chronic hepatitis b
familial amyotrophic lateral sclerosis,familial amyotrophic lateral sclerosis
interferon-alpha,interferon-alpha
manganese-superoxide dismutase,manganese-superoxide dismutase
mt1-mmp,wnchrs
hif1,hif-1alpha
neurodegenerative diseases,neurodegenerative diseases
immunophilin family,immunophilin family
vessel,vessel
cerebral hypoxia-ischemia,cerebral hypoxia-ischemia
alzheimer disease,alzheimer disease
type 2 diabetes,type 2 diabetes
hypothalamic,hypothalamic
cytoplasmic cyclosporin a-binding protein,cytoplasmic cyclosporin a-binding protein
cypa,cyph
endothelial nitric oxide synthase,endothelial nitric oxide synthase
cxcr4,lap-3
"fructose-1,6-bisphosphatase","fructose-1,6-bisphosphatase"
hbv,hbv
csa,mthsp75
vascular cell adhesion molecule 1,vascular cell adhesion molecule 1
alzheimer's disease,alzheimer's disease
cyclophilin,cyclophilin
p53 protein,p53 protein
arterial,arterial
host ifn-i,host ifn-i
plasma cyclophilin a,plasma cyclophilin a
extracellular signal-regulated kinase 1/2,extracellular signal-regulated kinase 1/2
ang ii,ang ii
condition,condition
insulin receptors,insulin receptors
cyp isoforms,cyp isoforms
t-cell transcription factor,t-cell transcription factor
inflammatory disease,inflammatory disease
cyclophilin a,cyclophilin a
abdominal aortic aneurysm,abdominal aortic aneurysm
asthma,asthma
arthritis,arthritis
multidrug resistance-associated protein,multidrug resistance-associated protein
hepatitis b,hepatitis b
engrailed-2,engrailed-2
cdk2,hist1h4d
pituitary adenylate cyclase-activating polypeptide,pituitary adenylate cyclase-activating polypeptide
obesity,obesity
homeobox gene,homeobox gene
znf238,mrd22
eif4e,eif-4e
insulin-like growth factor-1,insulin-like growth factor-1
pacap,mzb1
zic1,zic1
engrailed 2,engrailed 2
ki-67,ki-67
rett syndrome-like symptoms,rett syndrome-like symptoms
"homeobox transcription factor, engrailed 2","homeobox transcription factor, engrailed 2"
p7 ko,p7 ko
cyfip2,dee65
irs-1 ser-1101,irs-1 ser-1101
drs,srpx1
p70s6 kinase,p70s6 kinase
glycogen synthase kinase 3beta,glycogen synthase kinase 3beta
vasoactive intestinal peptide,vasoactive intestinal peptide
neuropilin-1,neuropilin-1
tyrosine-kinase receptor,tyrosine-kinase receptor
igf-1,igf-1
mtor complex 1 family,mtor complex 1 family
p-s6k,p-s6k
mib-5,mib-5
engrailed genes,engrailed genes
igf1 receptor,igf1 receptor
adenylate cyclase,adenylate cyclase
rp58,mrd22
vermis,vermis
igf1,igf1a
gene en-2,gene en-2
foxa2,hnf-3-beta
forebrain,forebrain
gli genes,gli genes
phosphatidylinositol-3-kinase,phosphatidylinositol-3-kinase
igf1r,jtk13
genetic disorder,genetic disorder
pcna,atld2
en-2,en-2
cerebrospinal fluid insulin-like growth factors igf-1,cerebrospinal fluid insulin-like growth factors igf-1
homeodomain transcription factor,homeodomain transcription factor
p57kip2,ib291
rett syndrome,rett syndrome
igf-i,igf1a
bmp2,alk-6
en-1,en-1
eukaryotic translation initiation factor 4e,eukaryotic translation initiation factor 4e
homeobox transcription factor,homeobox transcription factor
lobule,lobule
receptor tyrosine kinase,receptor tyrosine kinase
atf5,atf5
pka,pka
engrailed 2 gene,engrailed 2 gene
engrailed,engrailed
emx2,emx2
purkinje cell tsc1 mutant,purkinje cell tsc1 mutant
homeobox transcription factor gene engrailed 2,homeobox transcription factor gene engrailed 2
fragile x syndrome,fragile x syndrome
pdk1,pdk1
cortical,cortical
chicken engrailed genes,chicken engrailed genes
insulin-like growth factor-i,insulin-like growth factor-i
nuclear cyclin-dependent kinase,nuclear cyclin-dependent kinase
p27,p24g3
4e-bp1,eif4ebp1
histone mrna,histone mrna
atoh1,math-1
mecp2,brx1
engrailed homeobox 2,engrailed homeobox 2
insulin-like growth factor 1,insulin-like growth factor 1
engrailed-2 mutant,engrailed-2 mutant
cerebellar dysfunction,cerebellar dysfunction
cerebellar hemisphere,cerebellar hemisphere
igf binding protein-5 gene,igf binding protein-5 gene
p7 wt,p7 wt
pax genes,pax genes
adenylate cyclase-activating polypeptide,adenylate cyclase-activating polypeptide
asd,arsd
trkb receptors,trkb receptors
cold,cold
insulin-like growth factors,insulin-like growth factors
pontine nuclei,pontine nuclei
murine homologues of drosophila segment polarity genes,murine homologues of drosophila segment polarity genes
insulin-like growth factor i,insulin-like growth factor i
stripe gene,stripe gene
sem,sem
asd-associated gene,asd-associated gene
pituitary,pituitary
corpus callosum,corpus callosum
bfgf,bfgf
smad5,dwfc
proto-oncogene int-1,proto-oncogene int-1
engrailed-2 mutants,engrailed-2 mutants
engrailed homeobox genes,engrailed homeobox genes
inferior olive,inferior olive
zic2,hpe5
cerebellar cortex,cerebellar cortex
cortex,cortex
midbrain–hindbrain,midbrain–hindbrain
pacap type i receptor,pacap type i receptor
eif4b,eif4b
en2,en2
map1b promoter,map1b promoter
tailed,tailed
dm,dm
hippocampal,hippocampal
lipocalin-2,lipocalin-2
lipocalin 2,lipocalin 2
arc,ofq
phosphatidylinositol-3-oh kinase,phosphatidylinositol-3-oh kinase
sld3-associated protein,sld3-associated protein
atr kinase,atr kinase
cyclin-dependent kinase,cyclin-dependent kinase
atr targets,atr targets
"cdks, specific threonine-serine protein kinases","cdks, specific threonine-serine protein kinases"
human single-stranded dna binding proteins,human single-stranded dna binding proteins
rad17 complexes,rad17 complexes
human cdt1,human cdt1
cdc25 family,cdc25 family
treslin,flj41618
rad9 complexes,rad9 complexes
rad9 s,rad9 s
rpa1,repa1
rad1,ercc4
human dna primase-polymerase,human dna primase-polymerase
ataxia telangiectasia mutated,ataxia telangiectasia mutated
mre11 complex,mre11 complex
dna polymerase alpha,dna polymerase alpha
cdc25 a phosphatase,cdc25 a phosphatase
chk1,chk1
atr-interacting protein,atr-interacting protein
mcm helicase,mcm helicase
dbf4,ask
mre11-rad50-nbs1,mre11-rad50-nbs1
timeless,tim-1
bach1,bach-1
mcm8,mcm8
ccdc111,myp22
serine-threonine kinase,serine-threonine kinase
mcm9,dj329l24.3
rlf-b,rlf-b
cyclin,cyclin
cdc45 protein,cdc45 protein
cdc25 a,cdc25 a
cdc7,hucdc7
drf1,scbms
atr,sckl
mcm4,cdc21
primase/polymerase,primase/polymerase
translesion dna polymerases,translesion dna polymerases
human claspin,human claspin
cdt1 protein,cdt1 protein
dna polymerase,dna polymerase
pcna-interacting proteins,pcna-interacting proteins
cyclin a complex,cyclin a complex
atpase,hdhc9
cip/kip cdk,cip/kip cdk
mec1,sckl
human cdc25a,human cdc25a
poly (adp-ribose) polymerase-1,poly (adp-ribose) polymerase-1
gmc helicase,gmc helicase
dna polymerases,dna polymerases
cki,ek
rad9-hus1-rad1,rad9-hus1-rad1
stretches,stretches
tipin,flj20516
dub3,usp17l
dna topoisomerases,dna topoisomerases
atr activation via topbp1,atr activation via topbp1
mcm2-7 double hexamers,mcm2-7 double hexamers
parp-1,parp7
mcm2-8 protein family,mcm2-8 protein family
rad50,nbsld
kinase-dead atm protein,kinase-dead atm protein
retinoblastoma protein,retinoblastoma protein
pol,c187-23
hus1,hus1
ctf4,and1
mre11,hmre11b
human mcm protein family,human mcm protein family
rpa and dna polymerases,rpa and dna polymerases
nbs1,flj20510
ic,ic
rpa-ssdna,rpa-ssdna
cdt1,hdm2
p21,tceal1
type ii topoisomerases,type ii topoisomerases
cdc2,pold
atm kinase,atm kinase
cdc6,cdc18l
atm protein,atm protein
brca1,brcc1
cyclin-dependent kinases,cyclin-dependent kinases
mammalian cell fusions,mammalian cell fusions
dna replication cdt1,dna replication cdt1
tipin-replication protein a,tipin-replication protein a
mcm2-7 complex,mcm2-7 complex
cdc25 phosphatases,cdc25 phosphatases
dna polymerase α,dna polymerase α
replication protein a,replication protein a
ataxia telangiectasia,ataxia telangiectasia
topbp1,topbp1
dna-pk,dna-pk
helicase,hfm1
fancj,bach-1
dna-dependent protein kinase,dna-dependent protein kinase
rpa,rpa
cyclin e,cyclin e
topbp1-interacting protein,topbp1-interacting protein
checkpoint kinase rad53,checkpoint kinase rad53
histone h2ax,histone h2ax
mcm2-7-related helicase mcm8,mcm2-7-related helicase mcm8
human mcm2-7 proteins,human mcm2-7 proteins
tipin proteins,tipin proteins
re,re
dna primase,dna primase
chk1-regulatory protein,chk1-regulatory protein
mrc1,mmr
escs,nr2e3
atm,agtr1b
claspin,claspin
tel1,agtr1b
mcm2-7 helicase,mcm2-7 helicase
rad51,hrad51
pol epsilon,pol epsilon
rad17,rad24
g1-cyclins,g1-cyclins
proliferating cell nuclear antigen,proliferating cell nuclear antigen
cdk kinase,cdk kinase
geminin,geminin
cdk1,pold
cdc6 protein,cdc6 protein
rad9,rad9a
dna replicative helicases,dna replicative helicases
mcm2-7-related protein,mcm2-7-related protein
hrad17-replication factor c complex,hrad17-replication factor c complex
ape2,xth2
dna polymerase epsilon,dna polymerase epsilon
mcm2-7,mcm2-7
yeast dna polymerase epsilon,yeast dna polymerase epsilon
cellular replication protein a,cellular replication protein a
rpa32,rpa135
cdc25a,cdc25a
dna polymerase kappa,dna polymerase kappa
mcm8-mcm9 complex,mcm8-mcm9 complex
cyclin b-p34cdc2 kinase,cyclin b-p34cdc2 kinase
tim,tim-1
atrip,mgc21482
cdc45,porc-pi-1
portal vein,portal vein
liver regeneration,liver regeneration
disseminated intravascular coagulation,disseminated intravascular coagulation
interleukin-18,interleukin-18
fas ligand,fas ligand
lps,camk1g
anti-fas antibody,anti-fas antibody
ril-18,ril-18
rip3,mprip
tf,mypcn
hepatitis,hepatitis
interleukin-18 binding protein,interleukin-18 binding protein
pit,camk1g
metabolic disease,metabolic disease
hepatic fibrosis,hepatic fibrosis
coagulopathy,coagulopathy
intestinal,intestinal
stat1,candf7
il-1 family,il-1 family
ifn-β-mediated il-18,ifn-β-mediated il-18
hepatic necrosis,hepatic necrosis
cirrhosis,cirrhosis
tissue factor,tissue factor
hypercoagulability,hypercoagulability
nitric oxide synthase,nitric oxide synthase
interleukin 4,interleukin 4
tlr9,tlr9
autoimmune hepatitis,autoimmune hepatitis
myd88-il-12,myd88-il-12
cd95,spf
plasminogen,plasminogen
inhibitor type 1,inhibitor type 1
myb,cmyb
il-1b,il1-beta
caspase-1-independent il-1b,caspase-1-independent il-1b
trif,iiae6
factor vii,factor vii
interleukin-1β,interleukin-1β
mesenteric veins,mesenteric veins
thrombin,thrombin
interferon-γ,interferon-γ
tlr3,cd283
caspase-1,caspase-1
tissue plasminogen activator,tissue plasminogen activator
toll-like receptor,toll-like receptor
tnf,dif
von willebrand factor,von willebrand factor
myd88,myd88
nk1,by55
pai-1,planh1
interleukin-10,interleukin-10
ifn-γ,ifn-γ
murine type 1 plasminogen activator inhibitor gene,murine type 1 plasminogen activator inhibitor gene
plasmin,plasmin
tnf-α,tnf-α
jack bean-derived lectin,jack bean-derived lectin
liver diseases,liver diseases
liver sinusoid,liver sinusoid
gut,gut
liver failure,liver failure
liver disease,liver disease
igf-1 tyrosine kinase receptor,igf-1 tyrosine kinase receptor
igf-1-sclu,igf-1-sclu
erk1-2,erk1-2
hsp27,hsp25
hsp72,hsp70-1
egr-1,egr-1
trf2,h6limo
pulmonary emphysema,pulmonary emphysema
ms,mtr
secretory clusterin,secretory clusterin
rad,ercc4
apolipoprotein j,apolipoprotein j
atm protein kinase,atm protein kinase
bronchial,bronchial
clusterin,clusterin
ls,hussy-01
jun,slc39a3
ha,ha
erk-1/2,erk-1/2
insulin-like growth factor-1 receptor,insulin-like growth factor-1 receptor
htert,htert
inhibitor cocktail ii,inhibitor cocktail ii
heat shock protein hsp72,heat shock protein hsp72
insulin-like growth factor 1-secretory clusterin,insulin-like growth factor 1-secretory clusterin
scr,scr
pot1,cmm10
cip1,neep21
caveolin-1,caveolin-1
b1,lmod1
clusterin gene,clusterin gene
clusterin/apolipoprotein j gene,clusterin/apolipoprotein j gene
c-myc oncogenes,c-myc oncogenes
igf-1r receptor,igf-1r receptor
xl dab sag saa,xl dab sag saa
pd,pd
1×pbs,1×pbs
sa-β-gal+,sa-β-gal+
nf-kappab,nfkb-p105
fatty acid binding protein,fatty acid binding protein
alpha1,srxy8
ldh,ldh
pulmonary,pulmonary
endothelial cell hif-1alpha,endothelial cell hif-1alpha
erythropoietin,erythropoietin
adiposity,adiposity
oa,oap
ldha-lactate-hif1α,ldha-lactate-hif1α
il-6,dcua
hif-{alpha} isoforms,hif-{alpha} isoforms
foxo1,foxo1a
obese,obese
socs3,ssi-3
hif-1α protein,hif-1α protein
mrp8,sap14a
osteoarthritis,osteoarthritis
ip,ptgir
skeletal muscle,skeletal muscle
hif prolyl hydroxylase,hif prolyl hydroxylase
toll-like receptor 4 inhibitor,toll-like receptor 4 inhibitor
mrp14,sap14a
macrophage cgi-58,macrophage cgi-58
hif-1alpha,hif-1alpha
sirt1,sir2alpha
nad,nad
hif1α protein,hif1α protein
ldh-a,ldh-a
kd,p73l
udp-glucose dehydrogenase,udp-glucose dehydrogenase
airway,airway
parathyroid hormone-related protein,parathyroid hormone-related protein
of hip osteoarthritis,of hip osteoarthritis
rheumatic disease,rheumatic disease
high fat diet,high fat diet
glucagon-like peptide-1,glucagon-like peptide-1
cd4+t,cd4+t
ccl20,st38
tlr2,cd282
mouse hif1α specific sirnas,mouse hif1α specific sirnas
nd,lp-a3
tirap,mal
knee osteoarthritis,knee osteoarthritis
mhc ii,mhc ii
knee,knee
toll-like receptor 4,toll-like receptor 4
ad,ad
allergic asthma,allergic asthma
gl,ptg
signal transducer and activator of transcription,signal transducer and activator of transcription
ctip,mrx87
foxn1,tlind
plan,plan
tgf-beta,tgf-beta
stat3 inhibitor galiellalactone,stat3 inhibitor galiellalactone
topoisomerase i poisons,topoisomerase i poisons
peroxidase,peroxidase
cdc25c,h-grf55
"1 μm of 2,7-dichlorofluorescein diacetate","1 μm of 2,7-dichlorofluorescein diacetate"
histone h2a variant h2ax,histone h2a variant h2ax
aldh,aldh
stathmin,stathmin
sd,rangap
phospho-histone h2ax,phospho-histone h2ax
vp-16,vp-16
signal transducer and activator of transcription 3,signal transducer and activator of transcription 3
fungal gl,fungal gl
rnase a,rnase a
h2ax,h2a/x
interleukin-6,interleukin-6
appropriate horseradish peroxidase,appropriate horseradish peroxidase
ml,ml
signal transducers and activators of transcription,signal transducers and activators of transcription
α-synuclein,α-synuclein
lrrk2—along,lrrk2—along
rtp801,flj20500
jnk-interacting protein 1,jnk-interacting protein 1
parkinson disease,parkinson disease
cep,cep
mitochondrial cytochrome c,mitochondrial cytochrome c
neurological disorders,neurological disorders
serine/threonine protein kinases,serine/threonine protein kinases
serine/threonine kinase,serine/threonine kinase
parkin e3 ligase,parkin e3 ligase
jnk3,jnk3
c-jun n-terminal kinase 3,c-jun n-terminal kinase 3
dj-1,hel-s-67p
bcr,bcr
nix,nix
pink1,pink1
moesin,moesin
kinase 1,kinase 1
protein kinase b,protein kinase b
c-abl protein tyrosine kinase,c-abl protein tyrosine kinase
cyclooxygenase 2,cyclooxygenase 2
kinase,kinase
c-jun nh2-terminal kinase 3,c-jun nh2-terminal kinase 3
major protein kinases,major protein kinases
wild-type pink1,wild-type pink1
fbp,folr1
tyrosine-kinase,tyrosine-kinase
serine/threonine protein kinase domain,serine/threonine protein kinase domain
protein kinase complement,protein kinase complement
mlk family,mlk family
lrrk2 mutation,lrrk2 mutation
parkinson’s disease kinase pink1,parkinson’s disease kinase pink1
parkinson disease-associated mutation r1441h,parkinson disease-associated mutation r1441h
c-jun-n-terminal kinase,c-jun-n-terminal kinase
src family,src family
apoptosis-inducing kinase 1,apoptosis-inducing kinase 1
hypertension,hypertension
parkinsonism,parkinsonism
park8,dkfzp434h2111
rac1-binding scaffold protein posh,rac1-binding scaffold protein posh
striatum,striatum
th,gch
akt3,ppp1r13b
pkb,cakb
lrrk2 kinase,lrrk2 kinase
dementia with lewy bodies,dementia with lewy bodies
da transporter,da transporter
abl family kinases,abl family kinases
lrrk2 gtp,lrrk2 gtp
glur6-9c peptide,glur6-9c peptide
cox-2,ptghs
leucine-rich repeat kinase 2,leucine-rich repeat kinase 2
lrrk2 mutations,lrrk2 mutations
serine/threonine protein kinase,serine/threonine protein kinase
tat protein transduction sequence,tat protein transduction sequence
siah1,siah1a
jip1,jip1
posh,posh
akt1,cakb
p38 kinases,p38 kinases
tyrosine kinase c-abl,tyrosine kinase c-abl
activating protein-1,activating protein-1
phosphatase and tensin homolog,phosphatase and tensin homolog
aimp2,hld17
